Nombre,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,"2013 a/"
Activos,155334,153102,201518,241090,307834,339453,416691,482249,563468,556883,697379,845472,947527,1042560,1204734,1330281,1236837,1332037,1392715,1533345,2024183,2041051.18055591
Circulante,25652,27409,26879,43687,74321,64429,55382,87490,109393,76534,123654,171027,243616,292763,384924,428561,364292,349697,313429,357470,318142,263229.76056548
Fijo,126210,122517,159437,179235,202450,232389,310342,338254,388225,406913,486098,539219,594569,643236,710488,793845,845062,967592,1061388,1152506,1658734,1721925.79984374
Otros,3472,3176,15202,18168,31063,42635,50967,56505,65850,73436,87627,135226,109343,106562,109322,107874,27483,14749,17898,23369,47307,55896
Pasivos,41605,45293,83287,117836,156269,186329,249552,320779,412863,434017,596684,799611,914184,1069430,1164781,1280373,1209952,1398877,1506499,1727264,2295249,2226369.80109634
"A corto Plazo",13331,18150,24707,39366,64674,61244,54566,84180,95766,71948,113771,136916,140483,164482,169927,289464,175965,242960,207254,253470,235804,254637.38006459
"A Largo Plazo",28274,27143,58580,78470,91595,125085,194986,236599,317097,362069,482913,662695,773702,904947,994854,990909,1033987,1155917,1299245,1473794,2059445,1971732.42103175
Patrimonio,113729,107809,118231,123254,151565,153124,167139,161470,150605,122866,100695,45861,33343,-26870,39954,49908,26885,-66840,-113783,-193919,-271066,-185318.621
"Certificados de aportación A",22341,22341,22341,22341,22341,10222,10222,10222,10222,10222,10222,86909,86909,93445,93445,96958,96958,96958,96958,-,-,-
"Reservas con destino específico",16050,16276,8421,9260,8637,8227,8394,10449,12691,16279,9804,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
"Superávit por revaluación",72025,66361,82624,82008,99225,112962,145706,162014,174054,181838,190524,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Otros,3313,2831,4845,9645,21362,21713,2817,-21215,-46362,-85473,-109855,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
"Total Pasivos y Patrimonio",155334,153102,201518,241090,307834,339453,416691,482249,563468,556883,697379,845472,947527,1042560,1204735,1330281,1236837,1332037,1392715,1533345,2024183,2041051.18009634
