cve_edo,Municipio,PD1,PD2,PD3,Total
1, AGUASCALIENTES,560,396,5886,6842
1, ASIENTOS,77,3,15,95
1, CALVILLO,65,14,8,87
1, COSIO,4,9,1,14
1, JESUS MARIA,4,18,90,112
1, PABELLON DE ARTEAG,19,6,29,54
1, RINCON DE ROMOS,6,26,15,47
1, SAN JOSE DE GRACIA,5,0,0,5
1, SAN FRANCISCO DE L,630,376,3,1009
1, TEPEZALA,1,1,1,3
1, EL LLANO,503,1,0,504
2, ENSENADA,308,6,189,503
2, MEXICALI,3218,1362,2101,6681
2, TECATE,0,6,3,9
3," LOS CABOS, B.C.S.",551,218,28,797
3, COMONDU,43,481,35,559
3, MULEGE,873,43,19,935
3, LA PAZ,441,158,148,747
3, LORETO,0,52,4,56
4, CALKINI,549,246,1,796
4, CAMPECHE,543,52,68,663
4, CARMEN,476,19,84,579
4, CHAMPOTON,390,769,21,1180
4, ESCARCEGA,493,781,2,1276
4, HECELCHAKAN,224,52,3,279
4, CANDELARIA,10,4,4,18
4, HOPELCHEN,990,318,49,1357
4, PALIZADA,48,4,35,87
4, CALAKMUL,0,4,0,4
4, TENABO,91,11,3,105
7, ACACOYAGUA,0,0,0,0
7, ACALA,81,12,0,93
7, ACAPETAGUA,93,0,12,105
7, ALTAMIRANO,0,0,0,0
7, AMATAN,0,2,1,3
7, AMATENANGO DE LA F,489,10,0,499
7, AMATENANGO DEL VAL,0,0,0,0
7, JALTENANGO,1289,126,3,1418
7, ARRIAGA,33,3,1,37
7, BELLA VISTA,61,12,0,73
7, BERRIOZABAL,145,23,0,168
7, BOCHIL,526,5,0,531
7, EL BOSQUE,0,0,0,0
7, CACAHOTAN,511,1,2,514
7, PLAYAS DE CATAZAJA,382,2,0,384
7, CHALCHIHUITAN,0,0,0,0
7, CHAMULA,0,0,0,0
7, CHAPULTENANGO,4,3,1,8
7, CHIAPA DE CORZO,2143,303,4,2450
7, CHIAPILLA,0,0,0,0
7, CHICOASEN,0,0,0,0
7, CHICOMUSELO,555,52,6,613
7, CHILON,289,1,1,291
7, CINTALAPA,3017,337,10,3364
7, COMITAN DE DOMINGU,2081,417,30,2528
7, LA CONCORDIA,2657,16,30,2703
7, COPAINALA,1,8,0,9
7, ESCUINTLA,829,24,5,858
7, FRANCISCO LEON,0,0,0,0
7, FRONTERA COMALAPA,6656,471,3,7130
7, FRONTERA HGO.,98,0,0,98
7, HUEHUETAN,561,5,17,583
7, HUITIUPAN,0,0,0,0
7, HUIXTLA,3408,1135,0,4543
7, LA INDEPENDENCIA,1160,290,0,1450
7, IXHUATAN,2,45,0,47
7, IXTACOMITAN,3,0,2,5
7, IXTAPA,12,0,0,12
7, JIQUIPILAS,375,22,5,402
7, JITOTOL,34,0,0,34
7, JUAREZ,0,2,13,15
7, LA LIBERTAD,11,0,1,12
7, MAPASTEPEC,2041,318,2,2361
7, LAS MARGARITAS,0,12,0,12
7, MAZATAN,273,33,18,324
7, METAPA,0,0,0,0
7, MOTOZINTLA,1685,2,48,1735
7, OCOSINGO,2309,4,0,2313
7, OCOZOCOAUTLA DE ES,166,245,2,413
7, OSTUACAN,33,7,1,41
7, OSUMACINTA,0,0,0,0
7, PALENQUE,6389,371,603,7363
7, PANTELHO,0,0,0,0
7, PANTEPEC,0,0,0,0
7, PICHUCALCO,22,6,3,31
7, PIJIJIAPAN,5,2,3,10
7, PUEBLO NUEVO COMAL,178,2,10,190
7, PUEBLO NUEVO SOLIS,1,0,0,1
7, RAYON,0,0,0,0
7, REFORMA,0,3,57,60
7, SABANILLAS,0,0,0,0
7, SALTO DEL AGUA,187,46,2,235
7, SAN CRISTOBAL DE L,0,20,1,21
7, SAN FERNANDO,314,37,0,351
7, SIMOJOVEL DE ALLEN,70,0,0,70
7, SOCOLTENANGO,3383,2,2,3387
7, SOLUSUCHIAPA,2,3,1,6
7, SOYALO,0,0,0,0
7, SUCHIAPA,295,120,1,416
7, SUCHIATE,119,96,12,227
7, SUNUAPA,0,0,1,1
7, TAPACHULA,3440,825,284,4549
7, TAPALAPA,0,0,0,0
7, TAPILULA,2,1,0,3
7, TECPATAN,514,26,2,542
7, TENEJAPA,0,1,0,1
7, TEOPISCA,0,0,0,0
7, TILA,50,0,0,50
7, TONALA,4785,2249,17,7051
7, TOTOLAPA,0,0,0,0
7, LA TRINITARIA,107,26,0,133
7, TUMBALA,7,1,0,8
7, TUXTLA GUTIERREZ,7306,2365,379,10050
7, TUXTLA CHICO,16,0,0,16
7, TUZANTAN,510,2,0,512
7, TZIMOL,0,0,0,0
7, UNION JUAREZ,92,0,0,92
7, VENUSTIANO CARRANZ,963,353,2,1318
7, ANGEL A CORZO (JAL,2051,15,6,2072
7, VILLA FLORES,14318,1524,8,15850
7, YAJALON,224,366,29,619
7, SAN LUCAS (EL ZAPO,0,0,0,0
7, ZINACANTAN,0,0,0,0
8, ALDAMA,0,6,28,34
8, ALLENDE,1,6,6,13
8, ASCENCION,309,2,18,329
8, BACHINIVA,0,0,1,1
8, BALLEZA,0,7,2,9
8, BOCOYNA,0,0,0,0
8, BUENAVENTURA,0,161,29,190
8, CAMARGO,35,52,40,127
8, CASAS GRANDES,0,0,48,48
8, CHIHUAHUA,3246,346,258,3850
8, CHINIPAS,0,3,0,3
8, COYAME,0,0,1,1
8, LA CRUZ,0,0,0,0
8, CUAUHTEMOC,468,2677,1111,4256
8, CUSIHUIRIACHIC,0,0,13,13
8, DELICIAS,442,1963,364,2769
8, GALEANA,0,0,0,0
8, GENERAL FRIAS,40,0,0,40
8, GOMEZ FARIAS,0,0,0,0
8, GRAN MORELOS,0,0,0,0
8, GUACHOCHI,453,0,1,454
8, GUADALUPE Y CALVO,0,0,14,14
8, GUERRERO,0,6,10,16
8, HIDALGO DEL PARRAL,209,15,100,324
8, HUEJOTITLAN,0,0,1,1
8, IGNACIO ZARAGOZA,0,0,0,0
8, JANOS,0,0,71,71
8, JIMENEZ,0,114,64,178
8, JUAREZ,1,62,218,281
8, JULIMES,23,33,0,56
8, MADERA,0,28,1,29
8, MANUEL BENAVIDES,0,0,1,1
8, MATACHIC,0,0,0,0
8, MEOQUI,21,73,51,145
8, NAMIQUIPA,0,72,14,86
8, NUEVO CASAS GRANDE,216,63,201,480
8, OJINAGA,9,29,172,210
8, PRAXEDIS G GUERRER,0,0,6,6
8, RIVA PALACIO,0,0,0,0
8, ROSALES,11,24,3,38
8, SAN FRANCISCO DE B,0,0,5,5
8, SAN FRANCISCO DE C,0,2,4,6
8, SAN FRANCISCO DEL ,0,0,0,0
8, SANTA BARBARA,184,0,1,185
8, SATEVO,0,0,10,10
8, SAUCILLO,45,98,26,169
8, TEMOSACHIC,0,0,6,6
8, AHUMADA,2,0,14,16
8, CORONADO,5,9,0,14
8, LOPEZ,1,2,0,3
8, MATAMOROS,0,8,2,10
8, VALLE DE ZARAGOZA,0,0,4,4
5, ABASOLO,0,0,2,2
5, ACUNA,0,0,0,0
5, ALLENDE,0,0,0,0
5, ARTEAGA,2,5,61,68
5, CANDELA,0,0,0,0
5, CASTANOS,0,4,0,4
5, CUATROCIENEGAS,0,0,0,0
5, GALEANA,0,0,270,270
5, GENERAL CEPEDA,55,3,2,60
5, JIMENEZ,0,0,0,0
5, MATAMOROS,200,11,44,255
5, MONCLOVA,0,5,0,5
5, MORELOS,0,2,0,2
5, MUZQUIZ,0,180,13,193
5, NADADORES,0,0,0,0
5, OCAMPO,0,0,0,0
5, PARRAS,35,4,4,43
5, PIEDRAS NEGRAS,0,0,0,0
5, RAMOS ARIZPE,3,0,248,251
5, SACRAMENTO,0,0,0,0
5, SALTILLO,32,10,122,164
5, SAN BUENAVENTURA,0,10,1,11
5, SAN JUAN DE SABINA,0,0,2,2
5, TORREON,15818,509,549,16876
5, FRONTERA,0,0,0,0
5, VILLA UNION,0,0,2,2
5, ZARAGOZA,0,0,1,1
6, ARMERIA,576,0,0,576
6, COLIMA,1136,93,198,1427
6, COMALA,1277,0,0,1277
6, COQUIMATLAN,81,1,0,82
6, CUAUHTEMOC,7781,1887,412,10080
6, IXTLAHUACAN,6,0,0,6
