cve_edo,Municipio,PD1,PD2,PD3,Total
1, AGUASCALIENTES,29678117.25,30446867.23,441699384.36,501824368.84
1, ASIENTOS,1685289.65,801647.99,4599404.51,7086342.15
1, CALVILLO,25598784.09,1785367.74,2246403.51,29630555.34
1, COSIO,201940,1228320.4,3300553.52,4730813.92
1, JESUS MARIA,346600,4237211.16,47828275.05,52412086.21
1, PABELLON DE ARTEAG,586627,907400,12313721.77,13807748.77
1, RINCON DE ROMOS,323840,3149335.13,12927091.1,16400266.23
1, SAN JOSE DE GRACIA,750000,0,0,750000
1, SAN FRANCISCO DE L,8770722.94,11988757.88,408200,21167680.82
1, TEPEZALA,108000,612314.93,747849.19,1468164.12
1, EL LLANO,4885545.82,27639,0,4913184.82
2, ENSENADA,10306818.27,4119888.57,235046263.76,249472970.6
2, MEXICALI,89227460.4,271615386.73,1027501286.76,1388344133.89
2, TECATE,0,1030000,8189999.98,9219999.98
3," LOS CABOS, B.C.S.",7888537.92,23310807,13707163.67,44906508.59
3, COMONDU,1212151.93,58218847.19,43248475.72,102679474.84
3, MULEGE,22181709.46,1507013,68336920,92025642.46
3, LA PAZ,7532390.64,10729277.35,79533132.84,97794800.83
3, LORETO,0,5714140,448800,6162940
4, CALKINI,2547501.96,1304000,468000,4319501.96
4, CAMPECHE,97216358.59,12521072.88,43107268.73,152844700.2
4, CARMEN,8075326.08,5666544.89,78114442.82,91856313.79
4, CHAMPOTON,15259074.26,6361667.54,2080496.8,23701238.6
4, ESCARCEGA,9310899.12,5201019.86,905616.1,15417535.08
4, HECELCHAKAN,18036735.44,9006920,802000,27845655.44
4, CANDELARIA,3653740.92,1434587.03,1190716,6279043.95
4, HOPELCHEN,40399820,38507837.18,5631026.68,84538683.86
4, PALIZADA,3245405.25,897644.36,27623815.68,31766865.29
4, CALAKMUL,953582.38,647476.29,0,1601058.67
4, TENABO,4698179.85,1469742.34,188898,6356820.19
7, ACACOYAGUA,136083.21,0,0,136083.21
7, ACALA,1502939.83,989592.32,0,2492532.15
7, ACAPETAGUA,800537.16,13230.63,13263137.97,14076905.76
7, ALTAMIRANO,183089.71,0,0,183089.71
7, AMATAN,181211.91,482963.65,346375.48,1010551.04
7, AMATENANGO DE LA F,1825171,197000,0,2022171
7, AMATENANGO DEL VAL,0,0,0,0
7, JALTENANGO,16312475.02,3778055.45,26509030.8,46599561.27
7, ARRIAGA,954710.35,1265541.61,1547578.47,3767830.43
7, BELLA VISTA,244940,186083,0,431023
7, BERRIOZABAL,340714.93,370583.05,76150.5,787448.48
7, BOCHIL,6701071.57,319158.41,43958.65,7064188.63
7, EL BOSQUE,16365.43,0,0,16365.43
7, CACAHOTAN,1568477,150000,658653.69,2377130.69
7, PLAYAS DE CATAZAJA,2859023.95,509637.54,0,3368661.49
7, CHALCHIHUITAN,42485.1,0,0,42485.1
7, CHAMULA,53851.94,0,0,53851.94
7, CHAPULTENANGO,386890.52,776084.99,1484253.76,2647229.27
7, CHIAPA DE CORZO,27533693.59,4860247.26,3057594.39,35451535.24
7, CHIAPILLA,15707.09,0,0,15707.09
7, CHICOASEN,16707.41,0,0,16707.41
7, CHICOMUSELO,6321891.86,1928649.23,6411716.04,14662257.13
7, CHILON,1413180.65,240240.27,541140.03,2194560.95
7, CINTALAPA,26827522.93,24183997.8,10509431.93,61520952.66
7, COMITAN DE DOMINGU,50363848.94,21062265.92,51327163.73,122753278.59
7, LA CONCORDIA,18267280.12,4823357.53,14162969.03,37253606.68
7, COPAINALA,159744.16,2867147.91,0,3026892.07
7, ESCUINTLA,12426734.66,558409.29,1438314.25,14423458.2
7, FRANCISCO LEON,50416.87,0,0,50416.87
7, FRONTERA COMALAPA,27584249.22,9473084.17,1049026.93,38106360.32
7, FRONTERA HGO.,404000,0,2224.75,406224.75
7, HUEHUETAN,3259441.91,298914.25,11091255.27,14649611.43
7, HUITIUPAN,30843.39,0,0,30843.39
7, HUIXTLA,19394429.27,5887232.97,16253123.85,41534786.09
7, LA INDEPENDENCIA,23321001.23,12447406.57,0,35768407.8
7, IXHUATAN,236916.23,2325617.5,0,2562533.73
7, IXTACOMITAN,319850.74,0,1141927.31,1461778.05
7, IXTAPA,1026253.84,46463.85,0,1072717.69
7, JIQUIPILAS,3649695.3,2660113.29,1695648.37,8005456.96
7, JITOTOL,824639.03,50708.56,0,875347.59
7, JUAREZ,0,941545.74,11163268.52,12104814.26
7, LA LIBERTAD,264579.95,93952.86,1649766.21,2008299.02
7, MAPASTEPEC,17432110.6,5795704.52,2489273.48,25717088.6
7, LAS MARGARITAS,373588.75,602039.7,0,975628.45
7, MAZATAN,3795156.5,6074081.02,17844791.68,27714029.2
7, METAPA,3477.16,0,0,3477.16
7, MOTOZINTLA,16780553.95,689408.45,5979082.1,23449044.5
7, OCOSINGO,31151207.31,1238792.42,10497.41,32400497.14
