PERIODO,"Totalmmbpce a/","Petróleo Crudo mmb","Condensados mmb b/","Gas Seco mmbpce","Relación Reservas/Producción años"
1980,45803,30616,2944,12243,58
1981,60126,44161,3063,12902,59
1982,72008,48084,8914,15010,60
1983,72008,48084,8914,15010,52
1984,72500,49911,7185,15404,54
1985,71750,49260,7150,15340,54
1986,70900,48612,6981,15307,54
1987,70000,48041,6839,15120,55
1988,69000,47176,6934,14890,52
1989,67600,46191,6821,14588,54
1990,66450,45250,6733,14467,53
1991,65500,44560,6738,14202,52
1992,65000,44292,6633,14075,50
1993,65050,44439,6786,13825,50
1994,64516,44043,6733,13740,49
1995,63220,43127,6648,13445,48
1996,62058,42146,6650,13262,48
1997,60900,42072,6400,12428,43
1998,56504.8,39840.5,5965.8,10698.4,39
1999,57741.2,41064,5874.7,10802.5,39
2000,58204.1,41495.3,6036.3,10672.5,41
2001,56154,39917.9,5573.8,10662.3,38
2002,52951,38286,4927,9738,35
"2003 c",50032,36266,4384,9382,33
2004,48041,34388.9,4229.1,9423,30
2005,46914,33312,4248,9354,29.1
2006,46417.5,33093,4342,8982,29
2007,45376.3,31908.8,4359,9108.9,28
2008,44482.7,31211.6,4454,8817.4,28
2009,43562.6,30929.8,4053,8579.7,30
2010,43075,30497,3980,8597,31.3
2011,43100,30601,3879,8620,31
2012,43837.3,30612.5,4320.9,8903.9,32.3
2013,44530,30817,4338.5,9375,32.9
